pos	rup	ron
art proclitic invar	a	al, a, ai, ale,
conj-adversativ	a	dar
prep	a	de-a
conj-adversativ	a	iar
conj-adversativ	a	iară
conj-adversativ	a	însă
prep	a	la
conj	a	şi
pron	a doauloru	celor două
pron	a doiloru	celor doi
num ord	a patura	a patra
sm	abagi, abageadz	abagiu - comerciant de aba
sf fpl	abanozi	abanos
vb 3+2	abatu - mi	abate
vb 3+2	abatu - mi	contraveni
vb 3+2	abatu - mi	depărta
vb 3+2	abatu - mi	devia
vb 3+2	abatu - mi	distrage
vb 3+2	abatu - mi	divaga
sm	abă, abadz	aba - stofă groasă
sm	abă, abadz	dimie
sn	abelu	pietricea la jocul copiilor
adv	abitiri	mult, mai
adv	abitiri	rău, mai
adv	abitiri	tare, mai
adj	abrashcu	impertinent
adj	abrashcu	obraznic
adj	abrashu	galben deschis
sf	aburari	aburare
vb 1	aburedzu - mi	abura ,v
vb 1	aburedzu - mi	aburi a scoate, v
vb 1	aburedzu - mi	şopti - fig
sm? pl?	aburi	abundenţă
sm? pl?	aburi	avere
sf	aburii	avere
sf	aburii	noroc
adj	aburosu	aburos
adj	aburosu	vaporos
sm	aburu	abur
sm	aburu	vapor de apă
adv	abusheala	buşilea
adv	abushila	buşilea
sf	abushilari	mers în 4 labe
adj	abushilatu	cu 4 picioare
vb 1	abushiledzu - mi	merge de-abuşilea
adv	aca	nu
adv	acabeti	fine, în
adv	acabeti	sfârşit, în
vb 4	acâkisescu - mi	asculta - fig
vb 4	acâkisescu - mi	cădea de acord
vb 4	acâkisescu - mi	concepe
vb 4	acâkisescu - mi	conveni
vb 4	acâkisescu - mi	conveni cu cineva
vb 4	acâkisescu - mi	dumeri
vb 4	acâkisescu - mi	explica, a-şi
vb 4	acâkisescu - mi	interpreta
vb 4	acâkisescu - mi	împăca
vb 4	acâkisescu - mi	înţelege, v
vb 4	acâkisescu - mi	învoi, a se
vb 4	acâkisescu - mi	pactiza
vb 4	acâkisescu - mi	pătrunde sensul
vb 4	acâkisescu - mi	percepe
vb 4	acâkisescu - mi	pricepe
vb 4	acâkisescu - mi	sesiza
vb 4	acâkisescu - mi	simţi
vb 4	acâlisescu - mi	chema
vb 4	acâlisescu - mi	cita
vb 4	acâlisescu - mi	convoca
vb 4	acâlisescu - mi	invita
vb 4	acâlisescu - mi	pofti
vb 4	acâlisescu - mi	provoca - fig
vb 4	acâlisescu - mi	soma
vb 4	acâljisescu - mi	chema
vb 4	acâljisescu - mi	cita
vb 4	acâljisescu - mi	convoca
vb 4	acâljisescu - mi	invita
vb 4	acâljisescu - mi	pofti
vb 4	acâljisescu - mi	provoca - fig
vb 4	acâljisescu - mi	soma
adj	acâmatu	leneş
sf	acareti	imobil
pron relativ	acari	cine
sf	acâri	deal golaş
sf	acâri	loc pleşuv
adj	acârsatu	roşietic
adv	acasâ	acasă
sf	acatastasi	dezordine
sf	acâtâstâsii	dezordine
adj	acâtsatu	amărât
sf	acâtsâturâ	agăţătură
sf	acâtsâturâ	cauză
sf	acâtsâturâ	greşeală
sf	acâtsâturâ	motiv
sf	acâtsâturâ	pariu
sf	acâtsâturâ	pretext
vb 1	acatsu	concepe pui - fig
vb 1	acatsu	începe - fig
vb 1	acatsu	închiria - fig
vb 1	acatsu	ocupa - mi
vb 1	acatsu	procrea - fig
vb 1	acatsu	zămisli - fig
vb 1	acatsu - mi	acroşa
vb 1	acatsu - mi	agăţa
vb 1	acatsu - mi	anina
vb 1	acatsu - mi	apuca
vb 1	acatsu - mi	atârna
vb 1	acatsu - mi	cuprinde
vb 1	acatsu - mi	da bine - fig
vb 1	acatsu - mi	sta bine ceva cuiva
vb 1	acatsu - mi	fixa
vb 1	acatsu - mi	îndrepta spre
vb 1	acatsu - mi	înhăţa
vb 1	acatsu - mi	lua-o spre
vb 1	acatsu - mi	porni
vb 1	acatsu - mi	prinde
vb 1	acatsu - mi	spânzura
vb 1	acatsu - mi	suspenda
vb 4	acâzânsescu	beneficia de
vb 4	acâzânsescu	câştiga
vb 4	acâzânsescu	căpăta
vb 4	acâzânsescu	cuceri
vb 4	acâzânsescu	dobândi
vb 4	acâzânsescu	izbândi
vb 4	acâzânsescu	repurta
vb impers	acljeamâ, si	însemna, v
vb impers	acljeamâ, si	semnifica
vb impers	acljeamâ, si	simboliza
vb 1	acljem - mi	chema
vb 1	acljem - mi	cita
vb 1	acljem - mi	convoca
vb 1	acljem - mi	invita
vb 1	acljem - mi	numi, se
vb 4	acljem - mi	pofti
vb 4	acljem - mi	provoca - fig
vb 4	acljem - mi	soma
adv	aclo	acolo
adv	acloia	acolo
adv	aclotsi	acolo
sf	acmageai	şoim
adv	acmotsi	acum
adv	aco	acolo
sf fpl	acoalâ	amidon
sf	acoalâ	coală de hârtie
sf fpl	acoalâ	scrobeală
vb 4	acoapiru - mi	acoperi, v
vb 4	acoapiru - mi	ascunde
vb 4	acoapiru - mi	înveli
vb 4	acoapiru - mi	masca
vb 4	acoapiru - mi	parcurge
vb 4	acoapiru - mi	astupa
vb 4	acoapiru - mi	ingropa - fig
sf	aconi	piatră de ascuţit
sf	acrâturâ	acritură
adj	acrearcu	acru
sf	acreashtiri	creştere
vb 4	acrescu	creşte, v
vb 4	acrescu	cultiva
vb 3+2	acrescu	cultiva
vb 4	acrescu	dezvolta, se
vb 3+2	acrescu	dezvolta, se
vb 4	acrescu	extinde
vb 3+2	acrescu	extinde
vb 4	acrescu	intensifica
vb 3+2	acrescu	intensifica
vb 4	acrescu	înălţa
vb 3+2	acrescu	înălţa
vb 4	acrescu	înmulţi
vb 3+2	acrescu	înmulţi
vb 4	acrescu	înteţi
vb 3+2	acrescu	înteţi
vb 4	acrescu	mări, se
vb 3+2	acrescu	mări, se
vb 4	acrescu	progresa
vb 3+2	acrescu	progresa
vb 4	acrescu	ridica, se
vb 3+2	acrescu	ridica, se
vb 4	acrescu	spori
vb 3+2	acrescu	spori
vb 4	acrescu,	acri, v
vb 4	acrescu,	altera
vb 4	acrescu,	dospi
vb 4	acrescu,	educa, v
vb 4	acrescu,	mura
vb 4	acrescu,	oţeti
vb 4	acrescu,	ridica, v
sf	acridhâ	lăcustă
adv	acrifa	furiş, pe
sm	acrifo, acrifadz	secret
sf	acrimi	bulion
sf	acrinâ	baniţă
sf	acrinâ	ladă
sf	acrinâ	stup
sf	acriri	acrire
adj	acrişoru	acrişor
sn	acrişu	acreală
adj	acritu	acrit
sf	acroari	frig
adj	acru	acru
sf	acruyealjeauâ	litoral
sf	acruyealjeauâ	ţărm
vb 4	acsescu	atinge, v
vb 4	acsescu	lovi uşor
sf	acshali	imbold
sf	acshali	impuls
sf	acshali	impulsionare
sf	acshali	îmboldire
sf	acshali	îndemn
sf	acshali	îndemnare
sf	acshali	pornire
sf	acshali	stimul
sf	acshali	stimulare
sf	acshali	stimulent
adv	acshe	aşa
adv	acshi	aşa
adv	acshia	aşa
adv	acshitsi	aşa
adj	acshu	capabil
adj	acshu	vrednic
sn	acu	ac
sf	aculâ	castel
adv	aculea	colea
adv	aculotsi	acolo
vb 4	aculsescu - mi	adera
vb 4	aculsescu - mi	alipi
vb 4	aculsescu - mi	atinge - fig
vb 4	aculsescu - mi	încleia
vb 4	aculsescu - mi	lipi, v
vb 4	aculsescu - mi	plezni o palmă - fig
vb 4	aculsescu - mi	reuni
vb 4	aculsescu - mi	suda
vb 4	aculsescu - mi	tencui
vb 4	aculsescu - mi	uni
sf	aculuthii	serviciu religios
vb 1	acumbâru	asculta - fig
vb 1	acumbâru	cumpăra, v
vb 1	acumbâru	pricepe - fig
vb 1	acumbâru	procura, v
vb 1	acumbâru	târgui
vb 4	acumbusescu - mi	propti
vb 4	acumbusescu - mi	rezema, v a se
vb 4	acumbusescu - mi	sprijini
vb 4	acumbusescu - mi	susţine
vb 1	acumpâru - mi	asculta - fig
vb 1	acumpâru - mi	cumpăra, v
vb 1	acumpâru - mi	pricepe - fig
vb 1	acumpâru - mi	procura, v
vb 1	acumpâru - mi	târgui
sf fpl	acumpratâ	cumpărătură
vb 1	acumpru	asculta - fig
vb 1	acumpru	cumpăra, v
vb 1	acumpru	pricepe - fig
vb 1	acumpru	procura, v
vb 1	acumpru	târgui
vb 4	acumsescu - mi	propti
vb 4	acumsescu - mi	rezema, v a se
vb 4	acumsescu - mi	sprijini
vb 4	acumsescu - mi	susţine
sm fpl	acumtil	contenire
sm fpl	acumtil	reazem
sm fpl	acumtin	contenire
sm fpl	acumtin	reazem
vb 1	acumtin - mi	adăposti, v
vb 1	acumtin - mi	conteni
vb 1	acumtin - mi	înceta, v
vb 1	acumtin - mi	întrerupe
vb 1	acumtin - mi	odihni - fig
vb 1	acumtin - mi	opri, v
vb 1	acumtin - mi	potoli, v, a se
vb 1	acumtin - mi	sista
vb 1	acumtin - mi	suspenda
vb 4	acumtinescu - mi	adăposti, v
vb 4	acumtinescu - mi	conteni
vb 4	acumtinescu - mi	înceta, v
vb 4	acumtinescu - mi	întrerupe
vb 4	acumtinescu - mi	odihni - fig
vb 4	acumtinescu - mi	opri, v
vb 4	acumtinescu - mi	potoli, v, a se
vb 4	acumtinescu - mi	sista
vb 4	acumtinescu - mi	suspenda
vb 1	acundinu - mi	atinge, v
vb 4	acundisescu	adăposti, v
vb 4	acundisescu	conteni
vb 4	acundisescu	înceta, v
vb 4	acundisescu	întrerupe
vb 4	acundisescu	odihni - fig
vb 4	acundisescu	opri, v
vb 4	acundisescu	potoli, v, a se
vb 4	acundisescu	sista
vb 4	acundisescu	suspenda
vb 1	acuntinu	adăposti, v
vb 1	acuntinu	conteni
vb 1	acuntinu	înceta, v
vb 1	acuntinu	întrerupe
vb 1	acuntinu	odihni - fig
vb 1	acuntinu	opri, v
vb 1	acuntinu	potoli, v, a se
vb 1	acuntinu	sista
vb 1	acuntinu	suspenda
sn	acupirâmindu	acoperământ
sf	acupirâturâ	acoperitură
adj	acupiritu	acoperit
adj	acupiritu	ipocrit - fig
adv	acushi	acum
adv	a-cu-totalui	tot, de
adv	a-cu-totalui	total
vb 1	acuvândedzu	cuvânta, v
vb 1	acuvândedzu	rosti
vb 1	acuvândedzu	spune
vb 1	acuvândedzu	vorbi
vb 1	acuvândedzu	zice
vb 1	adâlagu	alerga
vb 1	adâlagu	căuta - fig
vb 1	adâlagu	cutreiera
vb 1	adâlagu	fugări
vb 1	adâlagu	fugi
vb 1	adâlagu	goni
vb 1	adâlagu	grăbi, a se
adj	adânc	profund
adv	adanca	adânc
adv	adanca	profund
adv	adânca	adânc
adv	adânca	profund
sf	adâncari	adâncire
adj	adâncosu	adânc
adv	adâncosu	adânc
adj	adâncu	adânc
invar	adap(i)	arşice - om
sf	adâpâturâ	adăpătură
adj	adapsu	adăugat
adj	adaptu	adăugat
vb 1	adapu - mi	adăpa, v
vb 1	adapu - mi	bea apă
sn	adârâmintu	edificiu
sn	adârâmintu	lucrare
sn	adârâmintu	operă
sf	adârari	durare
adj	adâratu	durat
sf	adârâturâ	lucrătură
vb 1	adaru - mi	alcătui
vb 1	adaru - mi	clădi
vb 1	adaru - mi	construi, v
vb 1	adaru - mi	creea, v
vb 1	adaru - mi	drege, v
vb 1	adaru - mi	fabrica
vb 1	adaru - mi	face, v
vb 1	adaru - mi	făuri
vb 1	adaru - mi	forma, v
vb 1	adaru - mi	împodobi, - fig
vb 1	adaru - mi	întocmi
vb 1	adaru - mi	realiza
vb 1	adastu - mi	adăsta / aştepta
vb 1	adastu - mi	aştepta
vb 1	adastu - mi	zăbovi
sn	adâvgâmintu	adaos
sf	adâvgâturâ	adaos
vb 3+2	adavgu	adăuga, v
vb 3+2	adavgu	amplifica -v
vb 3+2	adavgu	da în plus
vb 3+2	adavgu	mări, v
vb 3+2	adavgu	multiplica
vb 3+2	adavgu	pune peste
vb 3+2	adavgu	spori
adv	adeaneavra	adineaori
adv	adeca	nedrept
sf	adeti	obicei
adj	adhic	injust
adj	adhic	nedrept
adv	adhica	injust
adv	adhica	nedrept
sf	adhie	permisiune
vb 4	adhiki(p)sescu - mi	nedreptăţi, v
vb 4	adhiki(p)sescu - mi	persecuta
sf	adhikii	inechitate
sf	adhikii	nedreptate
sn	adhimtu	postav din lână
sf	adhinâmii	slăbiciune
adv	adhinaton	imposibil
vb 4	adhinâtsescu	debilita
vb 4	adhinâtsescu	slăbi, v
adj	adhinatu	debil
adj	adhinatu	slab
vb 4	adhixescu	căpăta
vb 4	adhixescu	dobândi
vb 4	adhixescu	încasa
vb 4	adhixescu	obţine
vb 4	adhixescu	primi, v
vb 4	adhixescu	recepţiona
sn	adhulu	piatră la arşice
adj	adhyeaforit	inutil
adj	adhyeafur	indiferent
sf	adhyeafurii	indiferenţă
vb 4	adhyeafurisescu	indiferent, a fi
vb 4	adhyeafurisescu	păsa, nu
sf	adhyeafurisiri	indiferenţă
adj	adhyeafurisitu	indiferent
adj	adhyeafurisitu	inutil
vb 4	adhyisescu	liber, a fi
vb 4	adhyisescu	termina treaba, v
vb 4	adhyisescu	timp a avea
sf	adiljeari	briză
sf	adiljeari	mânghiere
sf	adiljeari	respiraţie
sn	adiljeaticu	răsuflare
sm fpl	adiljeatu	respiraţie
adj	adiljiosu	duios - fig
adj	adiljiosu	dulce - fig
adj	adiljiosu	îndurător - fig
adj	adiljiosu	tandru - fig
vb 1	adiljiu	mângâia - fig
vb 1	adiljiu	răsufla
vb 1	adiljiu	respira, v
vb 1	adiljiu	sufla
vb 1	adiljiu	trăi - fig
adv	adineavra	adineaori
invar	adio	adio
adv	adiyii	abia
adv	adoara	în zori
adv	a-doaura	a doua oară
vb 4	adormu	adormi, v
vb 4	adormu	muri - fig
sn	adrâmintu	costum
adj	adratu	beat - fig
adj	adratu	gătit - împodobit
sf fpl	aducâ	asemănare
sf	aducâturâ	conduită
sf	aducâturâ	manieră
vb 3+2	aducu	aduce, v
vb 3+2	aducu	asemăna - fig
vb 3+2	aducu	cauza
vb 3+2	aducu	creea, v
vb 3+2	aducu	înconvoia
vb 3+2	aducu	pricinui
vb 3+2	aducu	produce
vb 3+2	aducu	provoca
vb 3+2	aducu	realiza
vb 4	adukescu - mi	aminti
vb 4	adukescu - mi	dumiri
vb 4	adukescu - mi	ghici
vb 4	adukescu - mi	interpreta
vb 4	adukescu - mi	intui
vb 4	adukescu - mi	înţelege
vb 4	adukescu - mi	percepe
vb 4	adukescu - mi	presimţi
vb 4	adukescu - mi	pricepe
vb 4	adukescu - mi	sesiza
vb 4	adukescu - mi	simţi
adj	adukitoru	înţelegător
adj	adukitu	judicios
adj	adukitu	rezonabil
adj	adukitu	simţ,  cu bun
sf	adukiturâ	pricepere
adj	adunâtoru	adunător
adj	adunâtoru	econom
sf	adunâturâ	adunătură
invar	adunâ-vimtu	gură-cască
adj	aduncosu	adâncos
vb 1	adunu - mi	acumula
vb 1	adunu - mi	aduna
vb 1	adunu - mi	agonisi
vb 1	adunu - mi	colecta
vb 1	adunu - mi	colecţiona
vb 1	adunu - mi	concentra
vb 1	adunu - mi	convoca
vb 1	adunu - mi	culege, v
vb 1	adunu - mi	economisi
vb 1	adunu - mi	ghemui
vb 1	adunu - mi	îngrămădi
vb 1	adunu - mi	însuma
vb 1	adunu - mi	întâlni
vb 1	adunu - mi	întruni
vb 1	adunu - mi	recolta
vb 1	adunu - mi	reuni
vb 1	adunu - mi	strânge
vb 1	adunu - mi	strânge la un loc
vb 1	adunu - mi	suma
vb 1	adunu - mi	tezauriza
vb 1	adunu - mi	totaliza
adj	adusu	încovoiat
adv	adz	azi
adv	adzâ	azi
sf	adzâmâ	azimă
sf fpl	aerâ	aer
sf fpl	aerâ	briză
sf fpl	aerâ	eter
sf fpl	aerâ	văzduh
adv	aeri	ieri
adj dem	aest(u)	acest
adv	aevea	real
adv	aevea	realitate, în
adj	afan	dispărut
vb 4	afân(i)sescu	desfiinţa
vb 4	afân(i)sescu	devasta
vb 4	afân(i)sescu	distruge
vb 4	afân(i)sescu	nimici, v
vb 4	afân(i)sescu	ruina
adj	afandu	dispărut
sm fpl	afânizmo, afânizmadz	distrugere
sn	afâru	frâu
sm pl?	afcu	mazăre
sm invar	afendi	părinte
sm invar	afendi	preot
sm invar	afendi	tată
sm	afendico, afendicadz	stăpân
sf	afendiljia-ts	domnia ta
sm	afendu	preot
sm	afendu	stăpân
sm	afendu	tată
adv	aferim	bravo
vb 1	afetu	făta, v
vb 1	afetu	înţelege - fig
vb 1	afetu	naşte
sm fpl	afhion	opiu
sf fpl	afhioni	opiu
sf	afierumâ	sacrificiu
vb 4	afierusescu	jertfi, v
vb 4	afierusescu	sacrifica, v
sm pl	afindadz	bogătaşi
sm pl	afindadz	domni
sm	afindico, afindicadz	stăpân
sf	afindiljia-ts	domnia ta
sf	afingâ	afină
sf	afinghi	afină
sf	afingi	băţ
sm fpl	afion	opiu
sf fpl	afioni	opiu
vb 4	afirescu - mi	apăra, v
vb 4	afirescu - mi	ascunde
vb 4	afirescu - mi	eschiva
vb 4	afirescu - mi	evita
vb 4	afirescu - mi	feri, v
vb 4	afirescu - mi	ocroti, v
vb 4	afirescu - mi	păzi, v
vb 4	afirescu - mi	proteja, v
vb 4	afirescu - mi	veghea, se
vb 4	afirisescu	descreşte
vb 4	afirisescu	diminua
vb 4	afirisescu	micşora
vb 4	afirisescu	reduce, v
vb 4	afirisescu	restrânge
vb 4	afirisescu	scădea, v
sf fpl	afiritâ	pază
adj	afishcu	perfid
adj	afishcu	rău
adj	afisic	rău extrem
sf	afitari	fătare
sf	afladhâ	broşură
sf	afladhâ	cărticică
adj	aflatu	deştept
vb 1	aflu - mi	afla, v
vb 1	aflu - mi	auzi - fig
vb 1	aflu - mi	descoperi, v
vb 1	aflu - mi	găsi, v
vb 1	aflu - mi	ghici
vb 1	aflu - mi	întâlni
vb 1	aflu - mi	întâlni  - fig
vb 1	aflu - mi	naşte - fig
vb 1	aflu - mi	prinde
adv	afoarâ	afară
adj	afondut	fund, fără
adj	afondut	insondabil
adj	afondut	profund
sf	afrangâ	fragă
sm fpl	afratu	arsenic
adj	afratu	proaspăt
sm fpl	afratu	şoricioaică
sf	afreatsâ	turtă
adj invar	aftari	astfel de
adj invar	aftari	atare
vb 4	afugu	alerga, v
vb 4	afugu	deosebi - fig
vb 4	afugu	duce, a se
vb 4	afugu	fugi, v
vb 4	afugu	pleca, v
vb 4	afulescu	caştiga tot
vb 4	afulescu	falimenta
vb 4	afulescu	ruina
adj	afulitu	mofluz
sf	afumâturâ	poleială
adj	afumitos	înfometat
vb 1	afumu	afuma, v
vb 1	afumu	fuma
vb 1	afumu	fumega, v
vb 1	afumu	fura - fig
vb 1	afumu	polei
vb 1	afumu	tuli - fig
adv	afunda	adânc
vb 1	afundedzu	cufunda
vb 1	afundedzu	înfunda, v
adj	afundos	adânc
adv	afundu	adânc
vb 1	afundu	cufunda
vb 1	afundu	înfunda, v
adj	afunducosu	adânc
vb 1	afundusescu - mi	cufunda
vb 4	afundusescu - mi	înfunda, v
vb 4	afurisescu	afurisi
vb 4	afurisescu	blestema
adv	afurishalui	furiş, pe
adv	afurishalui	secret, în
sm	afurizmo, afurizmadz	anatema
sf	afurnjii	cauză
sf	afurnjii	motiv
sf	afurnjii	pretext
vb 4	afurnjisescu - mi	enerva
vb 4	afurnjisescu - mi	inflama - fig
vb 4	afurnjisescu - mi	irita, v
vb 4	afurnjisescu - mi	înfuria
sm	afuru	brigand
sm	afuru	hoţ
vb 1	afuru - mi	fura, v
vb 1	afuru - mi	prăda
vb 1	afuru - mi	răpi
vb 1	afuru - mi	subtiliza
vb 1	afuru - mi	sustrage
vb 1	afuru - mi	şterpeli
vb 1	afuru - mi	şuti
adv	agalea	agale
adv	agalea	domol
adv	agalea	lent
vb 4	agâlescu	amâna
vb 4	agâlescu	aştepta
vb 4	agâlescu	domoli
vb 4	agâlescu	încetini, v
vb 4	agâlescu	întârzia
vb 4	agâlescu	micşora
vb 4	agâlescu	reduce
vb 4	agâlisescu	alina
vb 4	agâlisescu	astâmpăra
vb 4	agâlisescu	atenua
vb 4	agâlisescu	calma
vb 4	agâlisescu	domoli
vb 4	agâlisescu	încetini, v
vb 4	agâlisescu	linişti
vb 4	agâlisescu	potoli, v, a se
vb 4	agâlisescu	tempera
adj	agâlisitu	liniştit
vb 4	agâljisescu	epuiza, v
vb 4	agâljisescu	extenua
vb 4	agâljisescu	istovi, v
sf	agalmâ	statuie
sf	agâreauâ	merişor
sf	agârshari	uitare
vb 4	agârshescu - mi	dormi - fig
vb 4	agârshescu - mi	neglija - fig
vb 4	agârshescu - mi	uita, v
adj	agârshitoru	uituc
sm	agă	agă
sm fpl	agdă	cremă depilatoare
adv	ageaba	oare?
adj	ageami(u)	naiv
adj	ageami(u)	neexperimentat
adj	ageamitu	necrescut
adj	ageamitu	novice
adj	ageamiu	naiv
adj	ageamiu	neexperimentat
sf	aghemi	frâu
adv	a-ghinealui	de-a-binelea
adj	aghiu	ager
adj	aghiu	agil
adj	agimitescu	ageamiu, de
sn	agiocu	joc
vb 1	agiocu - mi	juca, v
sf	agiucâreauâ	jucărie
sf	agiucârii	jucărie
adj	agiucâtoru	jucător
adj	agiumsu	ajuns
sf fpl	agiumtâ	sosire
adj	agiumtu	copt
adj	agiumtu	devenit
adj	agiumtu	sosit
sf fpl	agiunami	flămânzie
sm fpl	agiunaticu	foame
adv	agiundzi !	destul !
sf	agiuneatsâ	flămânzire
vb 1	agiunedzu	flămânzi, v
vb 1	agiunedzu	înfometa
vb 3+2	agiungu	ajunge, v
vb 3+2	agiungu	coace - fig
vb 3+2	agiungu	deveni - fig
vb 3+2	agiungu	egala - fig
vb 3+2	agiungu	prinde din urmă
vb 3+2	agiungu	sosi - fig
adj	agiunu	flămând
vb 1	agiunu	flămânzi, v
vb 1	agiunu	înfometa
sn	agiuratu	jurământ
vb 1	agiuru	făgădui
vb 1	agiuru	jura, v
sn	agiutoru	ajutor
vb 1	agiutu - mi	ajuta, v
vb 1	agiutu - mi	da ajutor
vb 1	agiutu - mi	sprijini
vb 1	agiutu - mi	susţine
adv	agonea	curând
vb	agrâshescu	dormi, v
vb	agrâshescu	uita, v
sf	agrimi	fiară
sn	agromin	măr pădureţ
sn	agru	câmp cultivat
sn	agru	ţarină
sf	agudeari	lovire
vb 4	agudescu	asemăna - fig
vb 4	agudescu	bate
vb 4	agudescu	ciocni
vb 4	agudescu	fura - fig
vb 4	agudescu	izbi
vb 4	agudescu	lovi, v
vb 4	agudescu	nimeri din întâmplare - fig
vb 4	agudescu	nimeri la ţintă- fig
vb 4	agudescu	păli
vb 4	agudescu	plesni
vb 4	agudescu	pocni
vb 4	agudescu	potrivi - fig
vb 4	agudescu	răni, v
vb 4	agudescu	şterpeli - fig
adj	aguditu	nebun - fig
adj	aguditu	ţicnit - fig
adj	aguditu	uluit
sf	aguditurâ	lovitură
vb 4	agunescu	fugări
vb 4	agunescu	goni, v
vb 4	agunescu	hăitui
vb 4	agunescu	izgoni
adv	agunjea	curând
invar	agunosu	dezgust
invar	agunosu	scârbă
sn	agur	câmp cultivat
sn	agur	ţarină
adj	agurliu	augur, de bun
mesu 08	Agustu	August
sf fpl	agzoti	forţă
sf fpl	agzoti	praf de puşcă
sf fpl	agzoti	putere
adj	agzutosu	focos
sf pl?	ahaincâ	divertisment
sf pl?	ahaincă	petrecere
adv	ahanda	adânc
adv	ahânda	adânc
sf pl?	ahândami	adâncime
adj	ahândosu	adânc
adv	ahândosu	adânc
adv	ahându	atât
adj neh	ahându, ahânda, ahândzâ, ahândi	atât, atâta, atâţi, atâtea
pron nehot	ahându, ahânda, ahândzâ, ahândi	atât, atâta, atâţi, atâtea
vb 4	ahândusescu - mi	afunda, v
vb 4	ahândusescu - mi	cufunda
sf	ahândusimi	adâncime
adv	ahântu	atât
adj neh	ahântu, ahântâ, ahântsâ, ahânti	atât, atâta, atâţi, atâtea
pron nehot	ahântu, ahântâ, ahântsâ, ahânti	atât, atâta, atâţi, atâtea
adj	ahar	drag
sm+f	ahar	drag
adj	ahar	iubit
sm+f	ahar	sarman
adj	ahâr	drag
sm+f	ahâr	drag
adj	ahâr	iubit
sm+f	ahâr	sarman
vb 4	ahârdzescu	acorda
vb 4	ahârdzescu	da
vb 4	ahârdzescu	dărui, v
vb 4	ahârdzescu	dona
vb 4	ahârdzescu	oferi
vb 4	ahârdzescu	preţui, v
vb 4	ahârdzescu	valora, v
sf	aharistisire	mulţumire
adj	aharistu	ingrat
adj	aharistu	nerecunoscător
vb 4	ahârzescu	acorda
vb 4	ahârzescu	da
vb 4	ahârzescu	dărui, v
vb 4	ahârzescu	dona
vb 4	ahârzescu	dota
vb 4	ahârzescu	înzestra
vb 4	ahârzescu	oferi
vb 4	ahârzescu	preţui, v
vb 4	ahârzescu	valora, v
adv	ahâtu	atât
adj neh	ahâtu, ahâtâ, ahâtsâ, ahâti	atât, atâta, atâţi, atâtea
pron nehot	ahâtu, ahâtâ, ahâtsâ, ahâti	atât, atâta, atâţi, atâtea
adv	ahazea	glumă, în
sm	ahci(u), ahceadz	bucătar
sf	ahcilâki	artă culinară
sf	ahcioanji	bucătăreasă
adv	ahimura	jos, din
sf	ahiroanâ	şură
vb 4	ahiurhescu	debuta
vb 4	ahiurhescu	demara
vb 4	ahiurhescu	începe
vb 4	ahiurhescu	porni
vb 4	ahiurhescu	purcede
sf fpl	ahiurhitâ	început
vb 4	ahiursescu	debuta
vb 4	ahiursescu	demara
vb 4	ahiursescu	începe
vb 4	ahiursescu	porni
vb 4	ahiursescu	purcede
sf	ahiursitâ	început
sf	ahiursiturâ	început
adj	ahmacu	prost
sf	ahmageai	şoim
sf	ahmăclâki	neghiobie
sf	ahmăcliki	neghiobie
sf	ahnii	iahnie
invar	ahno	aburind, în aburi
sf	ahnoatâ	respiraţie
adv	ahorea	separat
adv	ahoryea	separat
adj	ahristu	inutil
adv	ahtându	atât
adj neh	ahtându, ahtânda, ahtândzâ, ahtândi	atât, atâta, atâţi, atâtea
pron nehot	ahtându, ahtânda, ahtândzâ, ahtândi	atât, atâta, atâţi, atâtea
adj	ahtari	astfel de
adj	ahtari	atare
adv	ahtât	atât
adj neh	ahtât, ahtâtâ, ahtâtsâ, ahtâti	atât, atâta, atâţi, atâtea
pron nehot	ahtât, ahtâtâ, ahtâtsâ, ahtâti	atât, atâta, atâţi, atâtea
sf fpl	ahti	pasiune
sf fpl	ahti	răzbunare
vb 4	ahulescu - mi	atinge - fig
vb 4	ahulescu - mi	bâjbâi
vb 4	ahulescu - mi	fura - fig
vb 4	ahulescu - mi	palpa
vb 4	ahulescu - mi	pipăi, v
vb 4	ahulescu - mi	sufla aer cald
vb 4	ahulescu - mi	şterpeli - fig
vb 4	ahulescu - mi	tatona
sf fpl	ahulitâ	pipăire
vb 4	ahuljisescu	mânia
vb 4	ahuljisescu	supăra, v - din fiere
vb 4	ahuljisescu	varsa fierea în stomac, v
adj	ahundosu	profund
vb 4	ahundusescu - mi	afunda
vb 4	ahundusescu - mi	cufunda
vb 4	ahundusescu - mi	înfunda
vb 4	ahundusescu - mi	înghiţi pământul pe cineva
vb 4	ahurhescu	debuta
vb 4	ahurhescu	demara
vb 4	ahurhescu	începe
vb 4	ahurhescu	porni
vb 4	ahurhescu	purcede
sf fpl	ahurhitâ	începere
sf fpl	ahurhitâ	început
sf	ahuri	grajd
sn pl?	ahuzu	burlan
invar	ai	fie
adv	aia	desigur
adv	aia	sigur
sf	aiari	etalon
sf	aiari	măsură
sf fpl	aicâ	smântână
sf	aidhona	privighetoare
sf	aidhoni	privighetoare
adv	aieri	ieri
sf fpl	aipi	ruşine
sm fpl	air	aer
sf	airari	arare
adj	airat	arat
sf	airati	rentă
vb 1	airnedzu	ierna, v
adj dem	aist(u)	acest
sm	aito	vultur
vb 3+2	ajungu	ajunge, v
vb 3+2	ajungu	coace - fig
